code,location,registered,envelopes,valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
539104,Bojanovice,372,268,267,36,0,0,24,0,19,15,1,3,6,0,0,36,0,0,13,78,1,0,7,0,1,0,1,24,2
571199,Bratřínov,149,121,121,29,0,0,8,0,5,11,1,1,0,0,0,19,0,0,6,32,0,0,2,0,1,0,1,5,0
599735,Březová-Oleško,869,632,630,110,0,0,18,0,49,33,8,7,19,1,1,103,0,0,73,133,0,2,17,0,6,0,1,45,4
540048,Buš,281,208,207,43,0,0,8,0,22,10,2,0,0,0,0,38,0,0,21,44,0,0,6,0,1,0,0,12,0
539121,Černolice,328,251,248,54,1,1,18,0,22,10,3,6,4,0,0,39,0,0,36,32,0,0,6,0,4,0,0,12,0
539139,Černošice,5206,3964,3945,721,3,2,145,2,262,102,88,12,62,1,2,679,1,4,770,645,0,3,217,0,23,5,2,187,7
532215,Červený Újezd,964,663,661,105,2,1,37,1,46,51,11,10,11,1,2,105,2,1,40,167,2,4,17,0,7,1,0,32,5
539147,Číčovice,235,162,160,25,0,1,9,0,8,11,3,0,0,0,1,28,0,0,15,43,0,0,5,0,2,0,0,9,0
539155,Čisovice,843,562,556,66,1,0,33,2,49,27,17,6,14,1,3,92,0,1,43,142,0,0,11,1,2,0,1,43,1
539163,Davle,1262,874,867,155,7,0,22,1,85,43,13,8,13,0,0,116,0,1,72,226,0,0,21,0,9,3,7,62,3
539171,Dobrovíz,435,302,299,34,1,0,9,0,14,24,5,1,5,0,0,38,0,0,29,95,2,1,7,1,6,1,0,26,0
539180,Dobříč,252,197,191,23,0,0,16,0,14,10,11,1,2,0,0,31,0,0,20,50,0,1,5,0,2,0,0,5,0
539198,Dobřichovice,2738,2059,2049,413,2,3,81,0,142,47,60,4,32,4,2,336,0,0,371,336,2,1,89,2,11,1,3,106,1
539210,Dolní Břežany,2635,1981,1963,370,0,0,49,0,417,75,28,6,29,2,3,258,0,1,208,355,0,0,43,1,14,1,1,99,3
531146,Drahelčice,653,451,449,53,0,1,20,1,45,25,12,0,8,0,1,63,0,0,48,128,1,1,13,0,1,1,0,27,0
539228,Holubice,1237,852,850,134,0,3,51,0,48,43,13,8,21,2,3,118,0,2,89,203,0,0,10,0,18,1,0,82,1
539236,Horoměřice,2610,1837,1826,317,1,1,96,0,116,77,30,12,36,2,3,292,0,2,227,402,0,3,79,0,25,2,3,95,5
539244,Hostivice,5723,3897,3872,632,6,3,183,1,244,196,73,10,84,3,7,656,1,2,476,842,2,3,140,0,30,3,6,259,10
539252,Hradištko,1622,1147,1136,222,4,1,45,0,80,58,9,9,29,1,2,155,1,0,102,285,0,0,34,0,9,2,0,86,2
539261,Hvozdnice,381,290,287,39,2,0,31,0,32,12,6,2,3,1,0,37,2,0,25,71,0,0,4,0,1,0,1,18,0
539287,Choteč,279,173,171,24,0,0,9,1,11,13,1,1,5,1,0,19,1,2,26,38,0,0,7,0,2,0,0,9,1
539295,Chrášťany,647,410,408,48,0,0,12,1,36,16,7,3,6,2,0,77,0,0,44,110,1,0,8,0,2,0,1,34,0
539309,Chýně,1711,1278,1273,197,0,0,56,0,224,41,17,9,34,2,1,169,1,1,108,271,0,2,32,0,20,3,1,82,2
513431,Chýnice,280,224,223,42,0,1,11,0,14,13,1,0,5,0,1,37,0,2,30,45,0,0,5,0,3,1,0,12,0
539317,Jeneč,1000,636,632,84,2,1,27,6,35,70,14,7,10,1,1,85,0,2,43,161,0,0,16,0,2,0,5,58,2
539325,Jesenice,5552,3996,3980,822,3,3,127,3,330,107,82,12,81,2,3,628,2,3,470,873,2,6,97,0,41,4,5,273,1
539333,Jílové u Prahy,3530,2314,2304,351,5,3,101,2,191,123,60,16,40,2,8,380,3,5,195,520,1,3,63,0,9,9,7,196,11
539341,Jíloviště,513,384,379,73,0,0,22,0,17,14,6,2,2,0,1,64,1,2,46,73,0,0,17,0,1,2,1,31,4
539350,Jinočany,1282,863,855,104,0,1,43,1,98,30,11,9,18,3,0,156,0,1,82,208,1,0,30,0,6,1,0,52,0
539368,Kamenný Přívoz,1121,669,663,81,1,1,35,0,51,43,8,9,7,0,2,99,1,2,48,202,1,0,7,0,4,0,4,57,0
599727,Karlík,359,268,268,64,1,0,9,0,14,14,10,3,2,0,1,32,0,0,38,51,0,0,4,0,5,1,1,18,0
571211,Klínec,538,389,385,77,0,0,17,1,22,17,4,6,15,2,2,50,1,0,43,83,0,0,12,0,3,1,0,28,1
539384,Kněževes,453,337,334,35,1,1,16,0,18,21,4,2,6,1,1,52,0,0,27,97,10,0,16,0,2,0,0,23,1
539392,Kosoř,661,437,436,60,2,0,29,0,22,26,13,1,7,0,4,69,0,0,58,99,1,0,11,0,2,2,0,30,0
571261,Kytín,440,338,334,41,0,1,22,0,23,11,11,2,4,0,1,46,0,0,37,97,1,3,8,1,3,2,0,20,0
539406,Lety,1088,820,805,149,3,0,27,0,68,20,16,2,13,0,3,141,1,1,120,147,0,1,38,0,11,0,0,44,0
539414,Libčice nad Vltavou,2587,1583,1577,186,1,5,79,0,117,115,34,25,33,0,1,287,2,0,146,357,0,1,47,0,10,0,2,124,5
539422,Libeř,1091,766,760,139,1,0,26,0,84,25,8,7,9,1,2,120,1,1,59,198,0,0,11,0,2,0,1,62,3
571326,Lichoceves,291,190,188,19,0,0,9,0,15,11,6,2,1,1,0,26,0,0,17,50,0,0,7,0,2,0,0,21,1
539457,Líšnice,542,383,382,78,0,0,16,0,23,14,6,1,12,0,0,56,0,0,48,80,0,1,12,0,3,0,1,31,0
539490,Měchenice,621,452,451,85,2,1,30,0,34,17,6,5,6,1,3,47,0,0,49,122,1,0,15,0,5,0,0,22,0
540765,Mníšek pod Brdy,4299,2927,2904,490,6,3,145,2,173,129,104,19,68,5,4,467,5,3,266,688,0,3,127,1,21,4,0,166,5
531618,Nučice,1519,1023,1012,170,1,0,45,0,96,29,21,0,23,2,3,189,0,0,90,234,0,0,42,1,8,0,1,54,3
539503,Ohrobec,953,712,710,140,1,1,32,1,76,23,8,7,13,0,0,106,0,1,76,164,1,1,9,0,2,2,1,42,3
571334,Okoř,84,53,50,18,0,0,4,0,4,0,0,0,1,0,0,7,0,0,5,8,0,0,0,0,0,0,0,3,0
539511,Okrouhlo,539,383,382,47,0,2,14,1,37,19,4,4,5,0,0,66,0,0,27,108,0,1,7,0,3,0,1,35,1
539520,Ořech,732,522,519,117,0,1,24,0,41,21,12,3,6,0,0,69,0,1,50,110,2,1,16,1,7,0,0,37,0
539546,Petrov,543,371,369,54,0,0,25,0,24,11,5,1,10,2,1,71,1,1,30,95,0,0,5,0,3,1,2,26,1
539562,Pohoří,284,185,183,17,0,0,7,0,18,8,1,1,6,0,0,31,0,0,7,55,0,2,7,0,6,1,0,12,4
539571,Průhonice,1811,1383,1375,262,2,0,53,0,89,65,21,7,22,1,0,189,1,3,154,382,0,1,50,0,11,0,5,54,3
539597,Psáry,2863,1951,1942,353,1,1,81,2,252,64,24,11,30,3,7,267,0,0,195,432,1,3,44,0,28,5,0,131,7
532789,Ptice,615,452,450,65,0,0,25,1,49,20,6,0,10,2,1,81,0,0,42,104,0,1,22,0,0,2,0,19,0
571318,Roblín,175,131,130,33,0,0,5,0,4,8,2,2,4,0,0,17,0,0,13,29,0,1,1,0,2,0,0,8,1
539627,Roztoky,5782,4230,4196,673,6,5,202,2,331,184,74,19,79,0,6,640,1,3,778,721,3,0,194,1,39,4,2,225,4
531723,Rudná,3629,2471,2449,397,0,4,117,2,227,99,38,7,58,2,3,417,2,1,236,574,5,2,67,1,21,4,2,160,3
539643,Řevnice,2699,1905,1894,316,2,2,88,1,149,69,36,15,45,4,3,311,1,4,233,413,3,1,78,0,16,0,6,94,4
539651,Řitka,890,633,629,112,2,2,19,0,46,21,10,1,15,3,3,99,0,0,84,141,1,0,20,0,3,0,0,44,3
539660,Slapy,707,495,490,73,0,0,27,2,37,23,9,9,7,1,1,69,0,0,43,134,0,1,15,0,5,0,0,31,3
539686,Statenice,1019,681,677,135,0,0,22,0,38,15,13,11,17,0,0,116,0,0,88,139,0,0,27,0,3,0,0,53,0
539708,Středokluky,834,584,581,101,0,2,41,0,29,44,16,3,7,0,1,56,0,0,60,162,0,1,18,0,0,0,1,39,0
571342,Svrkyně,233,153,152,26,0,0,5,0,8,18,2,2,0,0,1,20,0,2,17,37,0,0,3,0,2,0,0,9,0
539732,Štěchovice,1504,1031,1026,172,1,1,64,0,87,45,14,8,6,0,0,185,0,0,81,225,0,2,24,0,3,1,4,98,5
531821,Tachlovice,754,484,482,66,2,0,13,1,41,23,10,2,18,0,0,83,0,0,30,118,0,1,20,1,5,3,0,42,3
598313,Trnová,215,163,163,24,2,0,16,0,7,4,3,1,7,0,0,34,0,0,7,33,0,0,6,0,3,1,0,13,2
539759,Třebotov,1048,744,740,123,2,0,17,3,59,46,14,4,12,1,2,125,0,0,82,172,4,2,20,0,6,0,2,38,6
539767,Tuchoměřice,1017,721,715,120,1,1,41,1,42,37,7,8,7,2,1,104,0,1,89,166,1,2,19,0,2,0,2,60,1
539775,Tursko,617,392,390,63,0,0,14,0,19,35,3,10,10,0,0,57,0,1,44,89,0,0,10,0,3,0,0,30,2
571351,Úholičky,582,402,400,45,0,0,18,0,38,27,7,5,5,0,0,58,1,2,48,115,0,0,11,0,0,0,0,19,1
532991,Úhonice,872,604,595,87,2,0,29,0,37,66,2,4,15,0,0,79,0,0,34,161,1,0,21,0,3,2,0,49,3
539805,Únětice,501,393,391,61,0,0,14,0,69,25,4,0,6,0,0,54,0,0,50,60,0,0,20,1,2,1,0,24,0
539813,Velké Přílepy,2195,1602,1588,302,2,1,76,0,136,62,24,10,28,1,4,257,2,6,194,285,1,1,59,0,9,0,2,126,0
